iter	Accuracy	MultiClass
626	0.8882681564	0.4207533609
627	0.8882681564	0.4207253764
628	0.8854748603	0.4205330698
629	0.8882681564	0.4202763739
630	0.8882681564	0.4195032764
631	0.8882681564	0.4189748464
632	0.8910614525	0.4185501974
633	0.8882681564	0.4174359385
634	0.8910614525	0.4172428997
635	0.8910614525	0.4168409417
636	0.8882681564	0.4165237916
637	0.8882681564	0.4161944672
638	0.8882681564	0.4160346386
639	0.8882681564	0.4155770739
640	0.8882681564	0.4151611282
641	0.8910614525	0.41501917
642	0.8910614525	0.4142261548
643	0.8882681564	0.4138493125
644	0.8882681564	0.4129908975
645	0.8882681564	0.4129110064
646	0.8882681564	0.4127625557
647	0.8882681564	0.4124775832
648	0.8910614525	0.4115795723
649	0.8910614525	0.4114544011
650	0.8938547486	0.4111443064
651	0.8938547486	0.4108915328
652	0.8910614525	0.4106781004
653	0.8910614525	0.4104694897
654	0.8910614525	0.4100311872
655	0.8938547486	0.4097454473
656	0.8994413408	0.4093205688
657	0.8994413408	0.4091829966
658	0.8994413408	0.4088018729
659	0.8938547486	0.408052083
660	0.8994413408	0.4074539297
661	0.8994413408	0.4067649264
662	0.8994413408	0.4064743358
663	0.9022346369	0.4061373987
664	0.9022346369	0.405766156
665	0.8994413408	0.4056533798
666	0.8994413408	0.4055137063
667	0.9022346369	0.4050581106
668	0.9022346369	0.4044169983
669	0.8994413408	0.4040170863
670	0.9078212291	0.4029257332
671	0.905027933	0.4026803139
672	0.905027933	0.4025490518
673	0.905027933	0.4025031048
674	0.905027933	0.401320356
675	0.9078212291	0.4012608186
676	0.9078212291	0.4007196456
677	0.9078212291	0.4006162296
678	0.9106145251	0.4004536372
679	0.9078212291	0.4001182226
680	0.9078212291	0.3998094472
681	0.9078212291	0.399304875
682	0.9106145251	0.3992631562
683	0.9106145251	0.3988856979
684	0.9106145251	0.398563002
685	0.9078212291	0.3983306883
686	0.9078212291	0.3981419897
687	0.9106145251	0.3980372411
688	0.9106145251	0.3979674119
689	0.9106145251	0.3975357545
690	0.9106145251	0.3972952867
691	0.9078212291	0.39725114
692	0.9106145251	0.3970536116
693	0.9106145251	0.3965152868
694	0.9106145251	0.3962862909
695	0.9078212291	0.3960283802
696	0.9078212291	0.3951954065
697	0.905027933	0.3949060237
698	0.905027933	0.3947723567
699	0.905027933	0.3945122848
700	0.905027933	0.3944867674
701	0.905027933	0.3941387528
702	0.9078212291	0.3938100917
703	0.9078212291	0.3934091292
704	0.9078212291	0.3931307377
705	0.9078212291	0.3925810112
706	0.9078212291	0.3923417513
707	0.9078212291	0.3918199043
708	0.9078212291	0.3915740239
709	0.9078212291	0.3913754158
710	0.9078212291	0.3909617735
711	0.9078212291	0.3902844596
712	0.905027933	0.3898998714
713	0.9078212291	0.3894283707
714	0.905027933	0.3894029838
715	0.9078212291	0.3892726751
716	0.9134078212	0.3887372041
717	0.9106145251	0.3880532692
718	0.9134078212	0.387777972
719	0.9162011173	0.3872541419
720	0.9162011173	0.386163704
721	0.9162011173	0.3857288123
722	0.9189944134	0.3851975207
723	0.9217877095	0.3848531164
724	0.9217877095	0.3846239728
725	0.9245810056	0.383901864
726	0.9245810056	0.3836515892
727	0.9245810056	0.3833227317
728	0.9245810056	0.3829927284
729	0.9245810056	0.382603059
730	0.9245810056	0.3823790183
731	0.9273743017	0.3821145338
732	0.9301675978	0.3818700626
733	0.9245810056	0.381640672
734	0.9245810056	0.3816118099
735	0.9245810056	0.3809957123
736	0.9245810056	0.3808197108
737	0.9245810056	0.3807851341
738	0.9245810056	0.3807585058
739	0.9245810056	0.380632965
740	0.9273743017	0.3804916959
741	0.9273743017	0.3799110311
742	0.9245810056	0.3790486135
743	0.9245810056	0.3785212359
744	0.9273743017	0.3782972263
745	0.9301675978	0.3779588563
746	0.9329608939	0.3775342677
747	0.9329608939	0.3770558405
748	0.9301675978	0.3767034352
749	0.9301675978	0.376534056
750	0.9301675978	0.3764526239
751	0.9329608939	0.3760521307
752	0.9329608939	0.3759809813
753	0.9329608939	0.3758415664
754	0.9329608939	0.3758103068
755	0.9301675978	0.3757479476
756	0.9329608939	0.3750537944
757	0.9329608939	0.374859277
758	0.9357541899	0.3747438219
759	0.9273743017	0.3742015063
760	0.9273743017	0.3740797981
761	0.9273743017	0.3738330866
762	0.9273743017	0.3736989563
763	0.9273743017	0.373307431
764	0.9273743017	0.3729089269
765	0.9273743017	0.3724953572
766	0.9273743017	0.3723225018
767	0.9273743017	0.3721121668
768	0.9273743017	0.3720043918
769	0.9301675978	0.3718901035
770	0.9301675978	0.371642938
771	0.9329608939	0.3712370208
772	0.9329608939	0.3709340764
773	0.9301675978	0.3705978262
774	0.9329608939	0.370460968
775	0.9301675978	0.3700514611
776	0.9301675978	0.3691032173
777	0.9329608939	0.3687421973
778	0.9329608939	0.3683165017
779	0.9329608939	0.3680282555
780	0.9329608939	0.367453727
781	0.9357541899	0.3672193754
782	0.9329608939	0.3669214442
783	0.9329608939	0.366764512
784	0.9329608939	0.3663966132
785	0.9329608939	0.3663322201
786	0.9329608939	0.3658356367
787	0.9329608939	0.3657871917
788	0.9301675978	0.3654758517
789	0.9329608939	0.3651922704
790	0.9301675978	0.3650704289
791	0.9329608939	0.3644222351
792	0.9329608939	0.3640871803
793	0.9329608939	0.3639259474
794	0.9329608939	0.3635486701
795	0.9357541899	0.3632462747
796	0.9357541899	0.3629489882
797	0.9357541899	0.3625295607
798	0.938547486	0.361941409
799	0.938547486	0.3618700045
800	0.938547486	0.3617778772
801	0.938547486	0.3616924711
802	0.9413407821	0.3614696301
803	0.9413407821	0.361064392
804	0.938547486	0.3608824964
805	0.9413407821	0.3604134274
806	0.9413407821	0.3601064504
807	0.938547486	0.3599303585
808	0.938547486	0.3591382864
809	0.938547486	0.3589460433
810	0.938547486	0.3587602072
811	0.938547486	0.358412428
812	0.938547486	0.3581732175
813	0.938547486	0.3579521053
814	0.938547486	0.3576959748
815	0.938547486	0.3575508689
816	0.938547486	0.3572252551
817	0.938547486	0.3570648311
818	0.938547486	0.3568370018
819	0.938547486	0.3565890591
820	0.938547486	0.3555674067
821	0.938547486	0.355482319
822	0.938547486	0.3552397165
823	0.938547486	0.355144813
824	0.938547486	0.3549136793
825	0.938547486	0.3544369156
826	0.9413407821	0.3540337005
827	0.9413407821	0.3538669513
828	0.9413407821	0.3532847188
829	0.9413407821	0.3530484822
830	0.9413407821	0.3529042755
831	0.9413407821	0.3527322451
832	0.9413407821	0.3525918442
833	0.9413407821	0.3524280862
834	0.9413407821	0.352217942
835	0.9413407821	0.3516034327
836	0.9413407821	0.3514809248
837	0.9413407821	0.3512201471
838	0.9413407821	0.3511610481
839	0.9413407821	0.3508381941
840	0.9413407821	0.3507676902
841	0.9413407821	0.3505439422
842	0.9413407821	0.3503157164
843	0.9413407821	0.3502379583
844	0.9413407821	0.3500883637
845	0.9413407821	0.3498259465
846	0.9413407821	0.3491057509
847	0.9413407821	0.3490194708
848	0.9413407821	0.3488706844
849	0.9413407821	0.3485685403
850	0.9413407821	0.3482506799
851	0.9413407821	0.348202881
852	0.9441340782	0.3477010651
853	0.9441340782	0.3475314309
854	0.9441340782	0.3472670449
855	0.9441340782	0.3471161543
856	0.9441340782	0.3470817343
857	0.9441340782	0.3464275931
858	0.9441340782	0.34580492
859	0.9441340782	0.3455179223
860	0.9441340782	0.3454213135
861	0.9441340782	0.3451670051
862	0.9441340782	0.3450579611
863	0.9441340782	0.3447152131
864	0.9441340782	0.3446525737
865	0.9441340782	0.3445637546
866	0.9441340782	0.3443406663
867	0.9441340782	0.3440167836
868	0.9441340782	0.3439147765
869	0.9441340782	0.3436723117
870	0.9441340782	0.3435902053
871	0.9469273743	0.3431637578
872	0.9469273743	0.3429084488
873	0.9469273743	0.3428493977
874	0.9469273743	0.3425517499
875	0.9441340782	0.3423437043
876	0.9441340782	0.3422666832
877	0.9469273743	0.3420629223
878	0.9469273743	0.3419532341
879	0.9469273743	0.3414737857
